epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,5275.29,0.5599,1.88289,0.96267,0.97893,0.96767,0.98829,0.79764,0.4814,1.5599,0.92481,0.0005512,0.0005512,0.0005512
70,5351.34,0.55452,1.87945,0.96135,0.98484,0.96439,0.98947,0.8001,0.4802,1.53977,0.91988,0.0005446,0.0005446,0.0005446
71,5427.13,0.55374,1.87389,0.95948,0.98587,0.96489,0.98983,0.8071,0.47294,1.52219,0.91708,0.000538,0.000538,0.000538
72,5502.95,0.54757,1.84806,0.95312,0.99012,0.96074,0.99082,0.80122,0.47156,1.50423,0.91396,0.0005314,0.0005314,0.0005314
73,5578.25,0.55581,1.85177,0.96085,0.98264,0.95454,0.98404,0.80297,0.4716,1.51851,0.91654,0.0005248,0.0005248,0.0005248
74,5653.95,0.55452,1.86487,0.95867,0.97193,0.96619,0.98261,0.79899,0.47319,1.52219,0.91535,0.0005182,0.0005182,0.0005182
75,5729.49,0.53877,1.81955,0.94891,0.97226,0.97182,0.98662,0.80674,0.4616,1.49344,0.90957,0.0005116,0.0005116,0.0005116
76,5805.17,0.54731,1.84541,0.95261,0.98194,0.96871,0.9897,0.81088,0.4662,1.48565,0.91254,0.000505,0.000505,0.000505
77,5880.7,0.5331,1.77897,0.94449,0.9772,0.97595,0.98941,0.81205,0.45673,1.49229,0.91002,0.0004984,0.0004984,0.0004984
78,5956.34,0.53026,1.78493,0.94485,0.98532,0.96063,0.9864,0.80358,0.46016,1.48258,0.91278,0.0004918,0.0004918,0.0004918
79,6032.04,0.54092,1.82074,0.94696,0.98615,0.96889,0.98883,0.81424,0.45355,1.47787,0.90759,0.0004852,0.0004852,0.0004852
80,6107.74,0.53021,1.78803,0.94766,0.97318,0.96053,0.98672,0.80386,0.46643,1.49077,0.91202,0.0004786,0.0004786,0.0004786
81,6183.2,0.52729,1.77117,0.94519,0.98615,0.96568,0.98767,0.8125,0.44889,1.47248,0.90194,0.000472,0.000472,0.000472
82,6258.92,0.52078,1.76444,0.93887,0.98048,0.97528,0.98884,0.82133,0.4402,1.44478,0.89993,0.0004654,0.0004654,0.0004654
83,6334.58,0.52383,1.76141,0.94373,0.9755,0.97676,0.98811,0.81897,0.44385,1.46075,0.89878,0.0004588,0.0004588,0.0004588
84,6410.31,0.51992,1.75043,0.9386,0.9709,0.97626,0.9896,0.81391,0.44814,1.45765,0.90282,0.0004522,0.0004522,0.0004522
85,6485.86,0.5202,1.73444,0.94219,0.98579,0.9648,0.98872,0.82258,0.43681,1.42717,0.89676,0.0004456,0.0004456,0.0004456
86,6561.55,0.51102,1.71794,0.93525,0.98669,0.96497,0.98697,0.8224,0.43265,1.42391,0.89367,0.000439,0.000439,0.000439
87,6637.1,0.50621,1.69893,0.93181,0.96919,0.97407,0.98819,0.81982,0.43339,1.41632,0.89377,0.0004324,0.0004324,0.0004324
88,6712.75,0.50769,1.71022,0.93516,0.97316,0.97031,0.98885,0.82242,0.43133,1.41435,0.8953,0.0004258,0.0004258,0.0004258
89,6788.29,0.50261,1.69139,0.92981,0.98085,0.97149,0.99018,0.82798,0.43206,1.41397,0.8936,0.0004192,0.0004192,0.0004192
90,6864,0.50332,1.68709,0.93328,0.98046,0.97447,0.98755,0.82088,0.43946,1.42351,0.89468,0.0004126,0.0004126,0.0004126
91,6939.78,0.49999,1.69396,0.92652,0.97689,0.97677,0.98758,0.82756,0.42945,1.401,0.88944,0.000406,0.000406,0.000406
92,7015.41,0.50215,1.69194,0.92757,0.97415,0.96849,0.98688,0.82327,0.43006,1.40716,0.8884,0.0003994,0.0003994,0.0003994
93,7091,0.49851,1.68109,0.92951,0.97365,0.9765,0.98845,0.82284,0.42322,1.3778,0.88923,0.0003928,0.0003928,0.0003928
94,7165.92,0.49523,1.67751,0.92717,0.97774,0.97966,0.98807,0.83264,0.41857,1.3742,0.88824,0.0003862,0.0003862,0.0003862
95,7240.68,0.50379,1.68382,0.93266,0.99293,0.97173,0.99049,0.83873,0.41753,1.36892,0.88604,0.0003796,0.0003796,0.0003796
96,7315.45,0.49443,1.6649,0.92742,0.98855,0.96478,0.98895,0.83619,0.41355,1.37384,0.88707,0.000373,0.000373,0.000373
97,7390.4,0.49648,1.66419,0.9285,0.98401,0.97895,0.98992,0.83818,0.41535,1.38226,0.88514,0.0003664,0.0003664,0.0003664
98,7465.38,0.48513,1.6367,0.92261,0.98652,0.96493,0.98539,0.83527,0.41142,1.3738,0.88228,0.0003598,0.0003598,0.0003598
99,7540.24,0.48581,1.63847,0.92233,0.98387,0.96901,0.98901,0.83059,0.41105,1.36948,0.88434,0.0003532,0.0003532,0.0003532
100,7615.99,0.48283,1.6149,0.9201,0.99463,0.96924,0.98845,0.82935,0.42045,1.38175,0.88599,0.0003466,0.0003466,0.0003466
101,7692.89,0.48922,1.64594,0.92728,0.98776,0.96663,0.98437,0.83631,0.4115,1.36401,0.88675,0.00034,0.00034,0.00034
102,7771.32,0.47869,1.61591,0.9162,0.98416,0.96946,0.98389,0.83635,0.41061,1.3572,0.88337,0.0003334,0.0003334,0.0003334
103,7847.91,0.47971,1.61923,0.92063,0.99344,0.97066,0.98904,0.83559,0.4083,1.35974,0.88084,0.0003268,0.0003268,0.0003268
104,7924.1,0.48094,1.61185,0.91759,0.98509,0.96699,0.98794,0.84001,0.40469,1.3235,0.87894,0.0003202,0.0003202,0.0003202
105,8000.22,0.46597,1.57167,0.91256,0.97558,0.97077,0.98786,0.84482,0.39455,1.30821,0.87506,0.0003136,0.0003136,0.0003136
106,8076.52,0.46898,1.57293,0.91399,0.97804,0.96986,0.98742,0.83851,0.39692,1.30156,0.87738,0.000307,0.000307,0.000307
107,8152.82,0.46445,1.57531,0.9119,0.99007,0.96618,0.98552,0.84386,0.39406,1.31954,0.87585,0.0003004,0.0003004,0.0003004
108,8229.1,0.47124,1.58416,0.91316,0.98164,0.96864,0.9847,0.84322,0.39681,1.30786,0.87636,0.0002938,0.0002938,0.0002938
